[2026-02-05 14:01:35] Error: [2] Undefined variable $userRepo in C:\xampp\htdocs\branch_logger\auth\login.php on line 16
[2026-02-09 09:25:20] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:20] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:20] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:20] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:20] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:20] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:20] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:20] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:24] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:24] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:24] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:24] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:24] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:24] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:24] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
[2026-02-09 09:25:24] Error: [2] Undefined array key "pc_name" in C:\xampp\htdocs\branch_logger\repo\qa_log_repo.php on line 35
